libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.2.6-1
libtool 2.4.6+42+gb88cebd5-11
libunistring 0.9.10-2
libunwind 1.3.1-1
liburcu 0.11.0-1
libusb 1.0.23-2
libusbmuxd 2.0.1-1
libutil-linux 2.35.1-2
libuv 1.37.0-1
libva 2.7.1-1
libva-mesa-driver 20.0.6-2
libvdpau 1.3-1
libvirt 5.10.0-3
libvirt-glib 3.0.0-1
libvisual 0.4.0-7
libvncserver 0.9.12-2
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.3-1
libwebp 1.1.0-1
libwnck3 3.36.0-1
libwpe 1.6.0-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.14-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmlb 0.1.15-2
libxmu 1.1.3-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxxf86vm 1.1.4-3
libyaml 0.2.4-1
libytnef 1.9.3+7+g24fe30e-1
libzapojit 0.0.3+14+g2dace3f-1
licenses 20200427-1
lightsoff 3.36.0-1
lilv 0.24.8-1
linux 5.6.8.arch1-1
linux-api-headers 5.4.17-1
linux-firmware 20200421.78c0348-1
llvm-libs 10.0.0-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
lsof 4.93.2-1
lua 5.3.5-3
lua52 5.2.4-5
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.187-1
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.3-3
malcontent 0.7.0-1
mbedtls 2.16.5-1
mdadm 4.1-2
mesa 20.0.6-2
mesa-vdpau 20.0.6-2
meson 0.54.1-1
metis 5.1.0.p8-1
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
mod_dnssd 0.6-7
modemmanager 1.12.8-1
mousetweaks 3.32.0-1
mpfr 4.0.2-2
mpg123 1.25.13-1
mtdev 1.1.6-1
mtools 4.0.24-1
mutter 3.36.2-1
nano 4.9.2-1
nautilus 3.36.2-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.2-1
ndctl 68-2
neon 0.31.1-1
net-snmp 5.8-4
netcf 0.2.8-7
netctl 1.21-2
netpbm 10.73.31-1
nettle 3.5.1-2
networkmanager 1.22.11dev+36+g6abf71f05-1
ninja 1.10.0-1
nm-connection-editor 1.16.0-1
npth 1.6-2
nspr 4.25-1
nss 3.51.1-1
numactl 2.0.13-3
oath-toolkit 2.6.2-7
openal 1.20.1-2
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openmpi 4.0.3-1
openresolv 3.10.0-1
openssh 8.2p1-3
openssl 1.1.1.g-1
opus 1.3.1-1
orc 0.4.31-1
orca 3.36.2-1
osinfo-db 20200214-1
ostree 2020.3-1
p11-kit 0.23.20-4
pacman 5.2.1-4
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
perl 5.30.2-1
perl-error 0.17029-1
perl-mailtools 2.21-2
perl-timedate 2.32-1
phodav 2.4-1
pinentry 1.1.0-5
pipewire 0.3.2-1
pixman 0.40.0-1
pkgconf 1.6.3-4
polari 3.36.2-1
polkit 0.116-5
poppler 0.87.0-1
poppler-glib 0.87.0-1
popt 1.16-12
portaudio 1:19.6.0-6
ppp 2.4.7-7
procps-ng 3.3.16-1
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pygobject-devel 3.36.0-2
python 3.8.2-2
python-anytree 2.8.0-1
python-appdirs 1.4.3-5
python-astroid 2.3.3-2
python-atspi 2.36.0-1
python-babel 2.8.0-4
python-backcall 0.1.0-4
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-certifi 2019.11.28-1
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-contextlib2 0.6.0.post1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.2-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docutils 0.16-1
python-dulwich 0.19.16-1
python-fastimport 0.9.8-1
python-gobject 3.36.0-2
python-html5lib 1.0.1-7
python-idna 2.9-1
python-imagesize 1.2.0-1
python-isort 4.3.21.2-3
python-jedi 0.16.0-1
python-jinja 2.11.2-1
python-lazy-object-proxy 1.4.3-1
python-lxml 4.5.0-1
python-markupsafe 1.1.1-3
python-mccabe 0.6.1-4
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-parso 0.6.2-1
python-patiencediff 0.1.0-1
python-pep517 0.8.2-1
python-pexpect 4.8.0-1
python-pickleshare 0.7.5-3
python-pip 20.0.2-1
python-ply 3.11-4
python-progress 1.5-3
python-prompt_toolkit 3.0.5-1
python-ptyprocess 0.6.0-4
python-pycodestyle 2.5.0-3
python-pyflakes 2.2.0-1
python-pygments 2.6.1-2
python-pylint 2.4.4-1
python-pyparsing 2.4.7-1
python-pytoml 0.1.21-3
python-pytz 2019.3-3
python-pyxdg 0.26-6
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-setuptools 1:46.1.3-1
python-simplejson 3.17.0-1
python-six 1.14.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 3.0.3-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-toml 0.10.0-3
python-traitlets 4.3.3-3
python-urllib3 1.25.9-1
python-wcwidth 0.1.9-1
python-webencodings 0.5.1-4
python-wrapt 1.12.1-1
python-xlib 0.27-1
qemu 4.2.0-2
qqwing 1.3.4-4
quadrapassel 3.36.02-1
raptor 2.0.15-12
readline 8.0.004-1
rest 0.8.1-1
rpcbind 1.2.5-3
rpmextract 1.0-8
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-5
ruby 2.7.1-2
ruby-dbus 0.15.0-3
ruby-ffi 1.12.2-2
ruby-irb 1.2.1-1
ruby-maruku 0.7.3-5
ruby-rb-inotify 0.9.10-4
ruby-rdoc 6.2.0-2
ruby-reline 0.0.7-2
ruby-sass 3.7.4-2
ruby-sass-listen 4.0.0-7
ruby-yard 0.9.24-1
rubygems 3.1.2-4
run-parts 4.8.6.1-2
rygel 0.38.3-1
sane 1.0.29-1
sbc 1.4-1
sdl 1.2.15-13
sdl2 2.0.12-1
seabios 1.13.0-1
sed 4.8-1
serd 0.30.4-1
shadow 4.8.1-1
shared-color-targets 0.1.7-2
shared-mime-info 1.15-2
simple-scan 3.36.2-1
slang 2.3.2-1
smbclient 4.12.1-1
snappy 1.1.8-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
speech-dispatcher 0.9.1-3
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spice-gtk 0.37-1
sqlite 3.31.1-1
sratom 0.6.4-1
srt 1.4.1-1
startup-notification 0.12-6
sudo 1.8.31.p1-1
suitesparse 5.7.2-1
sushi 3.34.0+15+g6aa213e-1
swell-foop 3.34.1-1
sysfsutils 2.1.0-11
sysprof 3.36.0-1
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
t1lib 5.1.2-7
taglib 1.11.1-3
tali 3.36.1-1
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.4.3-2
telepathy-glib 0.24.1-2
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-3
telepathy-mission-control 5.16.5-2
template-glib 3.34.0-1
tepl 4.4.0-1
tevent 1:0.10.2-1
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
tk 8.6.10-1
totem 3.34.1-2
totem-pl-parser 3.26.5-1
tracker 2.3.4-1
tracker-miners 2.3.3-1
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udisks2 2.8.4-2
unzip 6.0-14
upower 0.99.11-1
usb_modeswitch 2.6.0-2
usbmuxd 1.1.0+69+g8a69f1a-1
usbredir 0.8.0-1
util-linux 2.35.1-2
v4l-utils 1.18.0-1
vala 0.48.5-1
vde2 2.3.2-13
vid.stab 1.1-2
vino 3.22.0+60+gd29a4f2-1
virglrenderer 0.8.2-1
visual-studio-code-bin 1.44.2-1
